,거래소코드,year,Date,Name,Close,Marcap,Stocks,회계년도,회사명,산업코드,당기순이익,평균당기순이익,PER,ROE,ROE자본half,평균자본,업종PER,업종ROE,Label,연평균복리수익률,시총2,수익률,PBR,업종PBR,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),유통주식수 (발행주식의 총수 - 자기주식수),이익소각,자기주식수,보통주식비율
78,590,2015,2015-12-30,CS홀딩스,79300,91550.4226,1154482,2015-12-01,CS홀딩스(주),137100,29604,18993,4.820219165,0.080776935,235129,211990.1667,18.4470743,0.088216714,1,0.071183656,96399.247,-0.050299401,0.431861647,1.700646277,1154482,1147321,0,7161,79.59
79,1040,2015,2015-12-30,CJ,251000,7312570.748,29133748,2015-12-01,씨제이(주),137100,551116,460785.6667,15.86978779,0.048674548,9466665.5,8931525.667,18.4470743,0.088216714,1,-0.025752006,4537170.612,0.611702837,0.818737024,1.700646277,29133748,26162181,145741,2971567,43.29
80,1800,2015,2015-12-30,오리온,1166000,6968122.106,5976091,2015-12-01,(주)오리온홀딩스,137100,177108,170548.6667,40.85708931,0.116467227,1464349,1332958.333,18.4470743,0.088216714,0,-0.207241529,6064593.535,0.148984193,5.227561831,1.700646277,5976091,5251257,0,724834,28.54
81,2030,2015,2015-12-30,아세아,102000,223484.448,2191024,2015-12-01,아세아(주),137100,8210,41913.33333,5.332060951,0.036066409,1162115.5,1146124.667,18.4470743,0.088216714,0,0.032053166,324271.552,-0.310810811,0.194991395,1.700646277,2191024,1901476,0,289548,43.08
82,3030,2015,2015-12-30,세아제강,53700,322200,6000000,2015-12-01,(주)세아제강지주,137100,45773,79652,4.045096168,0.066326203,1200913,1129891.167,18.4470743,0.088216714,1,-0.13222769,476400,-0.323677582,0.285160208,1.700646277,6000000,5813988,0,186012,54.38
83,3550,2015,2015-12-30,LG,70800,12217044.87,172557131,2015-12-01,(주)엘지,137100,943775,869634,14.04849037,0.06716856,12947039.5,12404241.33,18.4470743,0.088216714,1,0.020562212,10560496.42,0.156862745,0.984908673,1.700646277,172557131,172463342,0,93789,48.43
84,5250,2015,2015-12-30,녹십자홀딩스,41950,1972833.41,47028210,2015-12-01,(주)녹십자홀딩스,137100,112849,98369.66667,20.05530237,0.079061122,1244223,1140279,18.4470743,0.088216714,0,0.086483042,982889.589,1.007177033,1.730132195,1.700646277,47028210,44934190,3615600,2094020,42.75
85,5440,2015,2015-12-30,현대그린푸드,24800,2423071.154,97704482,2015-12-01,(주)현대지에프홀딩스,137100,91455,93611.66667,25.88428601,0.065701458,1424803.5,1399809,18.4470743,0.088216714,0,-0.04864161,1851499.934,0.308707124,1.731001268,1.700646277,97704482,87294973,0,10409509,37.67
86,5740,2015,2015-12-30,크라운제과,542000,798650.008,1473524,2015-12-01,(주)크라운해태홀딩스,137100,43215,28990.33333,27.54883839,0.102044504,284095,258367.6667,18.4470743,0.088216714,0,-0.128298538,279232.798,1.860158311,3.091137596,1.700646277,1473524,1427702,0,45822,49.13
87,5810,2015,2015-12-30,풍산홀딩스,41500,325159.4305,7835167,2015-12-01,(주)풍산홀딩스,137100,36044,38665,8.409658102,0.067594559,572013.5,541183.1667,18.4470743,0.088216714,1,0.020769048,335736.906,-0.031505251,0.600830644,1.700646277,7835167,6491945,1200000,1343222,42.41
88,6040,2015,2015-12-30,동원산업,264500,889566.4,3363200,2015-12-01,동원산업(주),137100,7013,49860.33333,17.84116432,0.071312636,699179.5,655462,18.4470743,0.088216714,1,-0.043827641,1045955.2,-0.149517685,1.357159378,1.700646277,3363200,3363200,0,0,59.89
