,Ticker,Name,Precision_SVM
642,217330,싸이토젠,0.367256637
850,437780,엔에이치스팩24호,0.366666667
1440,406760,하나금융21호스팩,0.364583333
605,330730,스톤브릿지벤처스,0.363636364
679,136410,아셈스,0.362068966
435,19010,베뉴지,0.361607143
737,314140,알피바이오,0.361111111
249,393890,더블유씨피,0.361111111
121,121440,골프존뉴딘홀딩스,0.35840708
1244,258610,케일럼,0.35840708
41,439730,IBKS제20호스팩,0.357142857
227,442310,대신밸런스제14호스팩,0.357142857
1474,436610,한국제11호스팩,0.357142857
880,32790,엠젠솔루션,0.356164384
165,168330,내츄럴엔도텍,0.355855856
1230,105330,케이엔더블유,0.353982301
364,38290,마크로젠,0.353982301
1079,92130,이크레더블,0.353982301
1039,67920,이글루,0.353982301
1347,62860,티엘아이,0.352941176
893,900300,오가닉티코스메틱,0.35
350,58470,리노공업,0.349557522
277,13120,동원개발,0.349557522
595,84180,수성웹툰,0.349557522
1387,256630,포인트엔지니어링,0.349557522
731,148250,알엔투테크놀로지,0.349557522
188,194700,노바렉스,0.349557522
574,299660,셀리드,0.349557522
503,37460,삼지전자,0.349557522
1103,175140,인포마크,0.349557522
78,151910,SBW생명과학,0.348214286
127,440790,교보13호스팩,0.346153846
1364,170790,파이오링크,0.345132743
607,204630,스튜디오산타클로스,0.345132743
139,900070,글로벌에스엠,0.345132743
456,369370,블리츠웨이,0.345132743
454,44480,블레이드 Ent,0.345132743
497,225190,삼양옵틱스,0.345132743
376,14100,메디앙스,0.343137255
603,159910,스킨앤스킨,0.342857143
984,71460,위니아,0.342105263
563,24830,세원물산,0.341269841
906,39200,오스코텍,0.341262136
1268,166480,코아스템켐온,0.340707965
1472,53300,한국정보인증,0.340707965
856,183490,엔지켐생명과학,0.340707965
1214,63080,컴투스홀딩스,0.340707965
69,104200,NHN벅스,0.340707965
1123,40420,정상제이엘에스,0.340707965
25,214270,FSN,0.340707965
647,99320,쎄트렉아이,0.340707965
624,419270,신영스팩7호,0.34
660,376290,씨유테크,0.33974359
1211,223310,커머스마이너,0.338235294
45,67290,JW신약,0.337412587
1032,221800,유투바이오,0.336363636
244,23910,대한약품,0.336283186
1051,53350,이니텍,0.336283186
427,43150,바텍,0.336283186
1516,90850,현대이지웰,0.336283186
