날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적,
2023-05-23,564000 ,579000 ,563000 ,574000 ,561600 ,562700 ,566283 ,534129 ,500967 ,23461 ,6435599 ,
2023-05-22,553000 ,562000 ,547000 ,560000 ,554800 ,562600 ,565167 ,534029 ,500398 ,18774 ,6412138 ,
2023-05-19,560000 ,561000 ,552000 ,552000 ,551800 ,563600 ,564300 ,534121 ,499900 ,-23693 ,6393364 ,
2023-05-18,563000 ,564000 ,555000 ,562000 ,550800 ,565100 ,563767 ,534254 ,499450 ,32549 ,6417057 ,
2023-05-17,538000 ,560000 ,534000 ,560000 ,549000 ,566600 ,563000 ,534246 ,498940 ,35832 ,6384508 ,
2023-05-16,549000 ,552000 ,538000 ,540000 ,550200 ,568150 ,562550 ,534338 ,498400 ,-32300 ,6348676 ,
2023-05-15,542000 ,546000 ,530000 ,545000 ,554800 ,570850 ,562700 ,534613 ,497944 ,22897 ,6380976 ,
2023-05-12,547000 ,549000 ,542000 ,547000 ,557400 ,573550 ,562400 ,535054 ,497450 ,24112 ,6358079 ,
2023-05-11,568000 ,572000 ,550000 ,553000 ,560800 ,575700 ,562033 ,535471 ,496998 ,-50055 ,6333967 ,
2023-05-10,561000 ,570000 ,559000 ,566000 ,563600 ,578550 ,561517 ,535863 ,496519 ,18594 ,6384022 ,
2023-05-09,558000 ,567000 ,550000 ,563000 ,568600 ,580050 ,561117 ,536113 ,495969 ,1674 ,6365428 ,
2023-05-08,565000 ,572000 ,558000 ,558000 ,572200 ,580900 ,560900 ,536454 ,495354 ,-18925 ,6363754 ,
2023-05-04,563000 ,571000 ,560000 ,564000 ,578000 ,582000 ,560700 ,537004 ,494738 ,-20996 ,6382679 ,
2023-05-03,587000 ,587000 ,566000 ,567000 ,578600 ,583200 ,560333 ,537346 ,494090 ,-80703 ,6403675 ,
2023-05-02,580000 ,592000 ,579000 ,591000 ,575400 ,583600 ,559633 ,537613 ,493396 ,25907 ,6484378 ,
